roomID,receiverType,rirType,label_r,x_r,y_r,z_r,label_s,x_s,y_s,z_s,dist_gt,filename,id
Room_0,mono,Measured,MeasurementReceiver_0,0.34,0.32,1.53,Source_1,5.45,2.23,1.63,5.456207474061081,Room_0_Source_1_MeasurementReceiver_0_MeasuredIR_SC.wav,Room_0_Source_1_MeasurementReceiver_0
Room_0,mono,Measured,MeasurementReceiver_1,2.07,1.77,1.07,Source_1,5.45,2.23,1.63,3.456819347319151,Room_0_Source_1_MeasurementReceiver_1_MeasuredIR_SC.wav,Room_0_Source_1_MeasurementReceiver_1
Room_0,mono,Measured,MeasurementReceiver_2,1.26,4.06,1.8,Source_1,5.45,2.23,1.63,4.575357909497354,Room_0_Source_1_MeasurementReceiver_2_MeasuredIR_SC.wav,Room_0_Source_1_MeasurementReceiver_2
Room_0,mono,Measured,MeasurementReceiver_3,3.63,2.65,1.29,Source_1,5.45,2.23,1.63,1.898525743833884,Room_0_Source_1_MeasurementReceiver_3_MeasuredIR_SC.wav,Room_0_Source_1_MeasurementReceiver_3
Room_0,mono,Measured,MeasurementReceiver_4,3.25,0.56,1.45,Source_1,5.45,2.23,1.63,2.767905345202397,Room_0_Source_1_MeasurementReceiver_4_MeasuredIR_SC.wav,Room_0_Source_1_MeasurementReceiver_4
Room_0,mono,Measured,MeasurementReceiver_5,3.65,3.96,1.04,Source_1,5.45,2.23,1.63,2.565345980564805,Room_0_Source_1_MeasurementReceiver_5_MeasuredIR_SC.wav,Room_0_Source_1_MeasurementReceiver_5
Room_0,mono,Measured,MeasurementReceiver_6,3.94,3.94,1.53,Source_1,5.45,2.23,1.63,2.2834622834634253,Room_0_Source_1_MeasurementReceiver_6_MeasuredIR_SC.wav,Room_0_Source_1_MeasurementReceiver_6
Room_0,mono,Measured,MeasurementReceiver_7,5.96,3.6,1.41,Source_1,5.45,2.23,1.63,1.478309845736001,Room_0_Source_1_MeasurementReceiver_7_MeasuredIR_SC.wav,Room_0_Source_1_MeasurementReceiver_7
Room_0,mono,Measured,MeasurementReceiver_8,6.35,0.4,1.53,Source_1,5.45,2.23,1.63,2.0417884317431128,Room_0_Source_1_MeasurementReceiver_8_MeasuredIR_SC.wav,Room_0_Source_1_MeasurementReceiver_8
Room_0,mono,Measured,MeasurementReceiver_9,4.8,0.77,0.76,Source_1,5.45,2.23,1.63,1.8196153439669605,Room_0_Source_1_MeasurementReceiver_9_MeasuredIR_SC.wav,Room_0_Source_1_MeasurementReceiver_9
Room_0,mono,Measured,MeasurementReceiver_10,4.8,0.77,0.76,Source_2,2.04,3.64,1.63,4.075708527360611,Room_0_Source_2_MeasurementReceiver_10_MeasuredIR_SC.wav,Room_0_Source_2_MeasurementReceiver_10
Room_0,mono,Measured,MeasurementReceiver_11,4.17,0.4,1.54,Source_2,2.04,3.64,1.63,3.878479083352133,Room_0_Source_2_MeasurementReceiver_11_MeasuredIR_SC.wav,Room_0_Source_2_MeasurementReceiver_11
Room_0,mono,Measured,MeasurementReceiver_12,4.92,3.11,2.01,Source_2,2.04,3.64,1.63,2.9529138152001657,Room_0_Source_2_MeasurementReceiver_12_MeasuredIR_SC.wav,Room_0_Source_2_MeasurementReceiver_12
Room_0,mono,Measured,MeasurementReceiver_13,6.65,2.75,1.77,Source_2,2.04,3.64,1.63,4.697211939012333,Room_0_Source_2_MeasurementReceiver_13_MeasuredIR_SC.wav,Room_0_Source_2_MeasurementReceiver_13
Room_0,mono,Measured,MeasurementReceiver_14,5.0,3.85,1.56,Source_2,2.04,3.64,1.63,2.9682654867784315,Room_0_Source_2_MeasurementReceiver_14_MeasuredIR_SC.wav,Room_0_Source_2_MeasurementReceiver_14
Room_0,mono,Measured,MeasurementReceiver_15,3.0,1.41,0.95,Source_2,2.04,3.64,1.63,2.521289352692388,Room_0_Source_2_MeasurementReceiver_15_MeasuredIR_SC.wav,Room_0_Source_2_MeasurementReceiver_15
Room_0,mono,Measured,MeasurementReceiver_16,2.36,2.75,1.53,Source_2,2.04,3.64,1.63,0.9510520490488416,Room_0_Source_2_MeasurementReceiver_16_MeasuredIR_SC.wav,Room_0_Source_2_MeasurementReceiver_16
Room_0,mono,Measured,MeasurementReceiver_17,0.39,1.97,1.66,Source_2,2.04,3.64,1.63,2.347828784217452,Room_0_Source_2_MeasurementReceiver_17_MeasuredIR_SC.wav,Room_0_Source_2_MeasurementReceiver_17
Room_0,mono,Measured,MeasurementReceiver_18,0.81,3.86,1.71,Source_2,2.04,3.64,1.63,1.252078272313676,Room_0_Source_2_MeasurementReceiver_18_MeasuredIR_SC.wav,Room_0_Source_2_MeasurementReceiver_18
Room_0,mono,Measured,MeasurementReceiver_19,1.41,0.64,1.63,Source_2,2.04,3.64,1.63,3.0654363474063526,Room_0_Source_2_MeasurementReceiver_19_MeasuredIR_SC.wav,Room_0_Source_2_MeasurementReceiver_19
