roomID,receiverType,label_r,x_r,y_r,z_r,sourceType,label_s,x_s,y_s,z_s,dist_gt,filename,split
Room_1,Spatial,Receiver_7,-0.85,-4.55,1.0,Omni,Source_0,-1.15,-4.98,1.15,0.5453439281774396,Room_1_Source_0_Receiver_7_IR_Spatial.wav,enrollment_1
Room_1,Spatial,Receiver_7,-0.85,-4.55,1.0,Omni,Source_1,0.1,-4.75,1.5,1.0920164833920778,Room_1_Source_1_Receiver_7_IR_Spatial.wav,enrollment_1
Room_1,Spatial,Receiver_7,-0.85,-4.55,1.0,Omni,Source_2,-0.16,-5.05,1.6,1.0421612159354234,Room_1_Source_2_Receiver_7_IR_Spatial.wav,enrollment_1
Room_1,Spatial,Receiver_7,-0.85,-4.55,1.0,Omni,Source_3,-1.23,-4.35,1.5,0.6590902821313633,Room_1_Source_3_Receiver_7_IR_Spatial.wav,enrollment_1
Room_1,Spatial,Receiver_7,-0.85,-4.55,1.0,Omni,Source_4,-0.63,-4.76,1.5,0.5852349955359812,Room_1_Source_4_Receiver_7_IR_Spatial.wav,enrollment_1
Room_2,Spatial,Receiver_4,4.85,-3.1,1.5,Omni,Source_0,2.4,-2.18,1.5,2.617040313025384,Room_2_Source_0_Receiver_4_IR_Spatial.wav,enrollment_2
Room_2,Spatial,Receiver_13,4.85,-2.6,1.0,Omni,Source_0,2.4,-2.18,1.5,2.535527558517161,Room_2_Source_0_Receiver_13_IR_Spatial.wav,enrollment_2
Room_2,Spatial,Receiver_14,4.85,-2.6,1.5,Omni,Source_0,2.4,-2.18,1.5,2.485739326639058,Room_2_Source_0_Receiver_14_IR_Spatial.wav,enrollment_2
Room_2,Spatial,Receiver_16,2.35,-2.1,1.0,Omni,Source_4,4.85,-3.1,2.25,2.968585521759479,Room_2_Source_4_Receiver_16_IR_Spatial.wav,enrollment_2
Room_2,Spatial,Receiver_21,3.35,-2.1,1.0,Omni,Source_4,4.85,-3.1,2.25,2.19374109684803,Room_2_Source_4_Receiver_21_IR_Spatial.wav,enrollment_2
Room_3,Spatial,Receiver_14,0.95,1.55,1.0,Omni,Source_0,0.4,2.4,0.95,1.0136567466356643,Room_3_Source_0_Receiver_14_IR_Spatial.wav,enrollment_1
Room_3,Spatial,Receiver_14,0.95,1.55,1.0,Omni,Source_1,1.55,0.6,2.05,1.53785564992297,Room_3_Source_1_Receiver_14_IR_Spatial.wav,enrollment_1
Room_3,Spatial,Receiver_14,0.95,1.55,1.0,Omni,Source_2,1.5,1.9,1.5,0.8215838362577491,Room_3_Source_2_Receiver_14_IR_Spatial.wav,enrollment_1
Room_3,Spatial,Receiver_14,0.95,1.55,1.0,Omni,Source_3,1.05,2.95,1.36,1.4489996549343966,Room_3_Source_3_Receiver_14_IR_Spatial.wav,enrollment_1
Room_3,Spatial,Receiver_14,0.95,1.55,1.0,Omni,Source_4,1.06,0.6,1.5,1.079166344916297,Room_3_Source_4_Receiver_14_IR_Spatial.wav,enrollment_1
Room_4,Spatial,Receiver_1,-0.65,3.45,1.0,Omni,Source_2,0.5,4.95,1.5,1.9551214796017151,Room_4_Source_2_Receiver_1_IR_Spatial.wav,enrollment_2
Room_4,Spatial,Receiver_11,1.35,3.45,1.5,Omni,Source_0,-0.55,4.7,1.15,2.3010866998007704,Room_4_Source_0_Receiver_11_IR_Spatial.wav,enrollment_2
Room_4,Spatial,Receiver_11,1.35,3.45,1.5,Omni,Source_4,-0.45,4.45,1.17,2.0854016399725017,Room_4_Source_4_Receiver_11_IR_Spatial.wav,enrollment_2
Room_4,Spatial,Receiver_22,1.35,3.95,1.5,Omni,Source_0,-0.55,4.7,1.15,2.0724381776062706,Room_4_Source_0_Receiver_22_IR_Spatial.wav,enrollment_2
Room_4,Spatial,Receiver_22,1.35,3.95,1.5,Omni,Source_4,-0.45,4.45,1.17,1.8970766985021985,Room_4_Source_4_Receiver_22_IR_Spatial.wav,enrollment_2
Room_5,Spatial,Receiver_56,-0.1,-1.05,1.0,Omni,Source_0,-2.4,-2.05,1.95,2.681883666380777,Room_5_Source_0_Receiver_56_IR_Spatial.wav,enrollment_1
Room_5,Spatial,Receiver_56,-0.1,-1.05,1.0,Omni,Source_1,-2.05,-0.6,1.35,2.0316249653910043,Room_5_Source_1_Receiver_56_IR_Spatial.wav,enrollment_1
